SiteId,Treatment,N applied,N applications,N type,StartYr,EndYr,Annual.n2o,cumulative.n2o,Cumulative.start,Cumulative.end,crop.n2o,crop,Sample.method,Sample.number,sample.period,StartDate,EndDate,gapfilling.method,gapfilling.method.notes
scheer.inhib,Poly,170,NA,polymer urea,2012,2013,NA,0.69,NA,NA,NA,sorghum,auto chamber,NA,371,11/1/2012,11/7/2013,NA,341
scheer.inhib,Urea,170,NA,urea,2012,2013,NA,2.31,NA,NA,NA,sorghum,auto chamber,NA,371,11/1/2012,11/7/2013,NA,341
scheer.inhib,zeroN,170,NA,NA,2012,2013,NA,0.16,NA,NA,NA,sorghum,auto chamber,NA,371,11/1/2012,11/7/2013,NA,341
barton.79,OM.plus.Urea,100,NA,urea,2012,2013,NA,0.138,NA,NA,NA,canola,auto chamber,NA,364,6/7/2012,6/6/2013,linear,NA
barton.79,OM.no.Urea,0,NA,NA,2012,2013,NA,5.60E-02,NA,NA,NA,canola,auto chamber,NA,364,6/7/2012,6/6/2013,linear,NA
barton.79,no.OM.no.Urea,0,NA,NA,2012,2013,NA,2.10E-02,NA,NA,NA,canola,auto chamber,NA,364,6/7/2012,6/6/2013,linear,NA
barton.79,no.OM.plus.Urea,100,NA,urea,2012,2013,NA,1.40E-02,NA,NA,NA,canola,auto chamber,NA,364,6/7/2012,6/6/2013,linear,NA
barton.79,OM.plus.Urea,100,NA,urea,2013,2014,NA,0.271,NA,NA,NA,barley,auto chamber,NA,363,6/9/2013,6/7/2014,linear,NA
barton.79,OM.no.Urea,0,NA,NA,2013,2014,NA,0.146,NA,NA,NA,barley,auto chamber,NA,363,6/9/2013,6/7/2014,linear,NA
barton.79,no.OM.no.Urea,0,NA,NA,2013,2014,NA,1.90E-02,NA,NA,NA,barley,auto chamber,NA,363,6/9/2013,6/7/2014,linear,NA
barton.79,no.OM.plus.Urea,100,NA,urea,2013,2014,NA,0,NA,NA,NA,barley,auto chamber,NA,363,6/9/2013,6/7/2014,linear,NA
barton.79,OM.plus.Urea,100,NA,urea,2014,2014,NA,1.80E-02,NA,NA,NA,oats,auto chamber,NA,180,6/8/2014,12/5/2014,linear,NA
barton.79,OM.no.Urea,0,NA,NA,2014,2014,NA,-8.00E-03,NA,NA,NA,oats,auto chamber,NA,180,6/8/2014,12/5/2014,linear,NA
barton.79,no.OM.no.Urea,0,NA,NA,2014,2014,NA,-1.00E-03,NA,NA,NA,oats,auto chamber,NA,180,6/8/2014,12/5/2014,linear,NA
barton.79,no.OM.plus.Urea,100,NA,urea,2014,2014,NA,-7.00E-03,NA,NA,NA,oats,auto chamber,NA,180,6/8/2014,12/5/2014,linear,NA
barton.52,Lime.lw,0,NA,NA,2009,2009,NA,NA,NA,NA,NA,NA,auto chamber,NA,NA,NA,NA,linear,NA
barton.52,No-Lime.lw,0,NA,NA,2009,2009,NA,NA,NA,NA,NA,NA,auto chamber,NA,NA,NA,NA,linear,NA
barton.52,Lime.ww,75,NA,urea,2009,2009,NA,NA,NA,NA,NA,NA,auto chamber,NA,NA,NA,NA,linear,NA
barton.52,No-Lime.ww,75,NA,urea,2009,2009,NA,NA,NA,NA,NA,NA,auto chamber,NA,NA,NA,NA,linear,NA
barton.52,Lime.lw,20,NA,urea,2010,2010,NA,NA,NA,NA,NA,NA,auto chamber,NA,NA,NA,NA,linear,NA
barton.52,No-Lime.lw,20,NA,urea,2010,2010,NA,NA,NA,NA,NA,NA,auto chamber,NA,NA,NA,NA,linear,NA
barton.52,Lime.ww,50,NA,urea,2010,2010,NA,NA,NA,NA,NA,NA,auto chamber,NA,NA,NA,NA,linear,NA
barton.52,No-Lime.ww,50,NA,urea,2010,2010,NA,NA,NA,NA,NA,NA,auto chamber,NA,NA,NA,NA,linear,NA
Barton.Cunderdin,FertApp,87.5,NA,NA,2005,2007,NA,0.11,NA,NA,NA,wheat,auto chamber,NA,NA,5/19/2005,5/23/2007,linear,NA
Barton.Cunderdin,Control,0,NA,NA,2005,2007,NA,0.09,NA,NA,NA,wheat,auto chamber,NA,NA,5/19/2005,5/23/2007,linear,NA
WagnerRiddle,CT,150,NA,granular urea,2000,2000,NA,1.216,NA,NA,NA,corn,Flux-gradient,55,60,6/1/2000,7/31/2000,linear,22
WagnerRiddle,CT,0,NA,NA,2000,2001,2.429,1.214,NA,NA,NA,fallow,Flux-gradient,124,180,11/1/2000,4/30/2001,linear,109
WagnerRiddle,CT,0,NA,NA,2001,2001,NA,0.681,NA,NA,NA,soybean,Flux-gradient,172,183,5/1/2001,10/31/2001,linear,132
WagnerRiddle,CT,0,NA,NA,2001,2002,1.1,0.419,NA,NA,NA,fallow,Flux-gradient,174,180,11/1/2001,4/30/2002,linear,167
WagnerRiddle,CT,90,NA,granular urea,2002,2002,NA,0.408,NA,NA,NA,wheat,Flux-gradient,147,183,5/1/2002,10/31/2002,linear,92
WagnerRiddle,CT,0,NA,NA,2002,2003,3.318,2.91,NA,NA,NA,fallow,Flux-gradient,171,180,11/1/2002,4/30/2003,linear,161
WagnerRiddle,CT,150,NA,granular urea,2003,2003,NA,1.761,NA,NA,NA,corn,Flux-gradient,52,91,5/1/2003,7/31/2003,linear,41
WagnerRiddle,CT,0,NA,NA,2003,2004,2.677,0.916,NA,NA,NA,fallow,Flux-gradient,156,181,11/1/2003,4/30/2004,linear,135
WagnerRiddle,CT,0,NA,NA,2004,2004,NA,0.31,NA,NA,NA,soybean,Flux-gradient,93,122,5/1/2004,8/31/2004,linear,84
WagnerRiddle,CT,0,NA,NA,2004,2005,1.442,1.132,NA,NA,NA,fallow,Flux-gradient,160,180,11/1/2004,4/30/2005,linear,152
WagnerRiddle,NT,50,NA,granular urea,2000,2000,NA,0.999,NA,NA,NA,corn,Flux-gradient,57,60,6/1/2000,7/31/2000,linear,22
WagnerRiddle,NT,0,NA,NA,2000,2001,1.822,0.823,NA,NA,NA,fallow,Flux-gradient,136,180,11/1/2000,4/30/2001,linear,109
WagnerRiddle,NT,0,NA,NA,2001,2001,NA,0.473,NA,NA,NA,soybean,Flux-gradient,171,183,5/1/2001,10/31/2001,linear,132
WagnerRiddle,NT,0,NA,NA,2001,2002,0.964,0.491,NA,NA,NA,fallow,Flux-gradient,174,180,11/1/2001,4/30/2002,linear,167
WagnerRiddle,NT,60,NA,granular urea,2002,2002,NA,0.188,NA,NA,NA,wheat,Flux-gradient,137,183,5/1/2002,10/31/2002,linear,92
WagnerRiddle,NT,0,NA,NA,2002,2003,0.888,0.7,NA,NA,NA,red clover,Flux-gradient,171,180,11/1/2002,4/30/2003,linear,161
WagnerRiddle,NT,60,NA,granular urea,2003,2003,NA,1.646,NA,NA,NA,corn,Flux-gradient,59,91,5/1/2003,7/31/2003,linear,41
WagnerRiddle,NT,0,NA,NA,2003,2004,2.176,0.53,NA,NA,NA,fallow,Flux-gradient,152,181,11/1/2003,4/30/2004,linear,135
WagnerRiddle,NT,0,NA,NA,2004,2004,NA,0.282,NA,NA,NA,soybean,Flux-gradient,92,122,5/1/2004,8/31/2004,linear,84
WagnerRiddle,NT,0,NA,NA,2004,2005,1.187,0.904,NA,NA,NA,fallow,Flux-gradient,159,180,11/1/2004,4/30/2005,linear,152
Hoeglwald,spruce,NA,NA,NA,1999,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/1999,12/31/2012,NA,4085
kelly.24.27,T3,1000,NA,Urine applied in September,2009,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/2009,12/31/2010,NA,413
kelly.24.27,T4,1000,NA,Urine in Sep plus DCD applied in Aug,2009,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/2009,12/31/2010,NA,413
kelly.24.27,T5,1000,NA,Urine applied in Aug,2009,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/2009,12/31/2010,NA,413
kelly.24.27,T6,1000,NA,Urine in Aug plus DCD in Aug,2009,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/2009,12/31/2010,NA,413
kelly.30.33,T1,0,NA,NA,2010,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/23/2010,10/12/2011,NA,385
kelly.30.33,T2,1000,NA,urine,2010,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/23/2010,10/12/2011,NA,385
kelly.30.33,T3,1000,NA,Urine with DCD at the beginning (one time),2010,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/23/2010,10/12/2011,NA,385
kelly.30.33,T4,1000,NA,Urine with DCD each time,2010,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/23/2010,10/12/2011,NA,385
kelly.52,T2,1000,NA,urine,2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/16/2013,5/21/2014,NA,279
kelly.52,T3,1000,NA,Urine plus nitrapryin surface applied,2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/16/2013,5/21/2014,NA,279
kelly.52,T4,400,NA,dung,2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/16/2013,5/21/2014,NA,279
kelly.52,T1,0,NA,NA,2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/16/2013,5/21/2014,NA,279
kelly.38,T1,0,NA,NA,2012,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/2012,8/14/2013,NA,342
kelly.38,T2,1000,NA,Urine,2012,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/2012,8/14/2013,NA,342
kelly.38,T3,1000,NA,Urine plus DCD 10kg a.i./ha,2012,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/2012,8/14/2013,NA,342
kelly.38,T4,1000,NA,Urine plus DCD 20 kg a.i./ha,2012,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/7/2012,8/14/2013,NA,342
fogarty.8,T1,NA,NA,NA,2010,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/1/2010,1/31/2011,NA,315
fogarty.8,T2,NA,NA,NA,2010,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/1/2010,1/31/2011,NA,331
fogarty.8,T3,NA,NA,NA,2010,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/1/2010,1/31/2011,NA,347
fogarty.8,T4,NA,NA,NA,2010,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/1/2010,1/31/2011,NA,348
dougherty.6,urea,NA,NA,NA,2012,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/30/2012,2/3/2014,NA,428
dougherty.6,urea+DMPP,NA,NA,NA,2012,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/30/2012,2/3/2014,NA,428
dougherty.6,urea+NBPT,NA,NA,NA,2012,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/30/2012,2/3/2014,NA,428
dougherty.8,0N,0,NA,NA,2014,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2014,4/30/2015,NA,437
dougherty.8,25N,25,NA,NA,2014,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2014,4/30/2015,NA,437
dougherty.8,100N,100,NA,NA,2014,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2014,4/30/2015,NA,437
dougherty.8,50N,50,NA,NA,2014,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/2014,4/30/2015,NA,437
lam.83,bed,NA,NA,NA,2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/2013,12/31/2013,NA,28
lam.83,furrow,NA,NA,NA,2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/2013,12/31/2012,NA,28
lam.83,bin,NA,NA,NA,2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/1/2013,12/31/2013,NA,16
quayle.39,CONV_Irri,172.5,4,DAP & urea,2014,2014,NA,0.496,NA,NA,127,wheat,chamber,NA,163,6/9/2014,11/19/2014,NA,163
quayle.39,CONV_DMPP,172.5,4,DAP & urea,2014,2014,NA,0.414,NA,NA,129,wheat,chamber,NA,163,6/9/2014,11/19/2014,NA,163
quayle.39,RED_Irri,172.5,4,DAP & urea,2014,2014,NA,0.569,NA,NA,131,wheat,chamber,NA,163,6/9/2014,11/19/2014,NA,163
quayle.39,RED_DMPP,172.5,4,DAP & urea,2014,2014,NA,0.249,NA,NA,135,wheat,chamber,NA,163,6/9/2014,11/19/2014,NA,163
quayle.33,30mm_Irri,300,4,urea,2014,2014,NA,0.88,NA,NA,218,sorghum,chamber,NA,123,1/14/2014,5/16/2014,NA,123
quayle.33,60mm_Irri,300,4,urea,2014,2014,NA,1.28,NA,NA,231,sorghum,chamber,NA,123,1/14/2014,5/16/2014,NA,123
quayle.33,90mm_Irri,300,4,urea,2014,2014,NA,1.81,NA,NA,210,sorghum,chamber,NA,123,1/14/2014,5/16/2014,NA,123
quayle.33,120mm_Irri,300,4,urea,2014,2014,NA,1.71,NA,NA,141,sorghum,chamber,NA,123,1/14/2014,5/16/2014,NA,123
quayle.27,Banna_Sand_Bare_Soil,100,3,DAP & urea,2013,2013,NA,0.43,NA,NA,NA,fallow,chamber,NA,146,6/20/2013,11/18/2013,NA,146
quayle.27,Hanwood_Loam_Bare_Soil,100,3,DAP & urea,2013,2013,NA,1.1,NA,NA,NA,fallow,chamber,NA,144,6/20/2013,11/18/2013,NA,144
quayle.27,Mundiwa_Clay_Loam_Bare_Soil,100,3,DAP & urea,2013,2013,NA,3.65,NA,NA,NA,fallow,chamber,NA,145,6/20/2013,11/18/2013,NA,145
quayle.27,Banna_Sand_Wheat,100,3,DAP & urea,2013,2013,NA,0.41,NA,NA,72,wheat,chamber,NA,146,6/20/2013,11/18/2013,NA,146
quayle.27,Hanwood_Loam_Wheat,100,3,DAP & urea,2013,2013,NA,0.46,NA,NA,75,wheat,chamber,NA,144,6/20/2013,11/18/2013,NA,144
quayle.27,Mundiwa_Clay_Loam_Wheat,100,3,DAP & urea,2013,2013,NA,0.59,NA,NA,72,wheat,chamber,NA,145,6/20/2013,11/18/2013,NA,145
quayle.10,fertilizer,130,4,Urea,2012,2013,NA,NA,NA,NA,NA,wheat/soybean,NA,NA,119,12/26/2012,5/25/2013,NA,119
quayle.10,bare,0,4,NA,2012,2013,NA,NA,NA,NA,NA,wheat/soybean,NA,NA,119,12/26/2012,5/25/2013,NA,119
quayle.10,stubbl,NA,4,wheat stubbl,2012,2013,NA,NA,NA,NA,NA,wheat/soybean,NA,NA,118,12/26/2012,5/25/2013,NA,118
quayle.10,soybean,NA,4,NA,2012,2013,NA,NA,NA,NA,NA,wheat/soybean,NA,NA,118,12/26/2012,5/25/2013,NA,118
QuayleHiz,CONV,280,1,Urea,2014,2015,NA,1.37,NA,NA,NA,sorghum,chamber,NA,101,12/22/2014,4/1/2015,NA,NA
QuayleHiz,CONV-SPLIT,280,2,Urea,2014,2015,NA,1.01,NA,NA,NA,sorghum,chamber,NA,101,12/22/2014,4/1/2015,NA,NA
QuayleHiz,RED,280,1,Urea,2014,2015,NA,1.16,NA,NA,NA,sorghum,chamber,NA,101,12/22/2014,4/1/2015,NA,NA
QuayleHiz,RED-SPLIT,280,2,Urea,2014,2015,NA,1.24,NA,NA,NA,sorghum,chamber,NA,101,12/22/2014,4/1/2015,NA,NA
Matson_2017,Metropolitan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,76,1/1/2011,12/31/2011,NA,NA
Matson_2017,P27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matson_2017,P8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matson_2017,P19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Matson_2017,P32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ruan_2013,CT_soybeans,0.33,NA,ammonium sulfate + glyphosate (0.33 kg N ha-1),2009,2009,NA,NA,NA,NA,NA,smooth brome,NA,3,27,1/1/2009,12/31/2009,NA,NA
Ruan_2013,NT_soybeans,0.33,NA,ammonium sulfate + glyphosate (0.33 kg N ha-1),2009,2009,NA,NA,NA,NA,NA,smooth brome,NA,3,27,1/1/2009,12/31/2009,NA,NA
Ruan_2013,CRP_reference,0,NA,NA,2009,2009,NA,NA,NA,NA,NA,smooth brome,NA,3,11,1/1/2009,12/31/2009,NA,NA
Ruan_2016,0,0,1,granular urea,2009,2009,0.2525,NA,NA,NA,NA,switchgrass,static chamber,25,161,6/16/2009,11/24/2009,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,28,28,1,granular urea,2009,2009,0.4325,NA,NA,NA,NA,switchgrass,static chamber,25,161,6/16/2009,11/24/2009,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,56,56,1,granular urea,2009,2009,0.65,NA,NA,NA,NA,switchgrass,static chamber,25,161,6/16/2009,11/24/2009,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,84,84,1,granular urea,2009,2009,0.88,NA,NA,NA,NA,switchgrass,static chamber,25,161,6/16/2009,11/24/2009,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,112,112,1,granular urea,2009,2009,1.125,NA,NA,NA,NA,switchgrass,static chamber,25,161,6/16/2009,11/24/2009,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,140,140,1,granular urea,2009,2009,1.355,NA,NA,NA,NA,switchgrass,static chamber,25,161,6/16/2009,11/24/2009,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,168,168,1,granular urea,2009,2009,1.5775,NA,NA,NA,NA,switchgrass,static chamber,25,161,6/16/2009,11/24/2009,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,196,196,1,granular urea,2009,2009,2.1675,NA,NA,NA,NA,switchgrass,static chamber,25,161,6/16/2009,11/24/2009,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,0,0,1,liquid urea ammonium nitrate,2010,2010,0.2275,NA,NA,NA,NA,switchgrass,static chamber,26,178,5/17/2010,11/11/2010,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,28,28,1,liquid urea ammonium nitrate,2010,2010,0.4525,NA,NA,NA,NA,switchgrass,static chamber,26,178,5/17/2010,11/11/2010,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,56,56,1,liquid urea ammonium nitrate,2010,2010,0.6925,NA,NA,NA,NA,switchgrass,static chamber,26,178,5/17/2010,11/11/2010,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,84,84,1,liquid urea ammonium nitrate,2010,2010,0.98,NA,NA,NA,NA,switchgrass,static chamber,26,178,5/17/2010,11/11/2010,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,112,112,1,liquid urea ammonium nitrate,2010,2010,1.4125,NA,NA,NA,NA,switchgrass,static chamber,26,178,5/17/2010,11/11/2010,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,140,140,1,liquid urea ammonium nitrate,2010,2010,1.795,NA,NA,NA,NA,switchgrass,static chamber,26,178,5/17/2010,11/11/2010,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,168,168,1,liquid urea ammonium nitrate,2010,2010,2.47,NA,NA,NA,NA,switchgrass,static chamber,26,178,5/17/2010,11/11/2010,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,196,196,1,liquid urea ammonium nitrate,2010,2010,3.63,NA,NA,NA,NA,switchgrass,static chamber,26,178,5/17/2010,11/11/2010,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,0,0,1,liquid urea ammonium nitrate,2011,2011,0.2925,NA,NA,NA,NA,switchgrass,static chamber,32,183,5/19/2011,11/18/2011,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,28,28,1,liquid urea ammonium nitrate,2011,2011,0.5425,NA,NA,NA,NA,switchgrass,static chamber,32,183,5/19/2011,11/18/2011,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,56,56,1,liquid urea ammonium nitrate,2011,2011,0.9325,NA,NA,NA,NA,switchgrass,static chamber,32,183,5/19/2011,11/18/2011,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,84,84,1,liquid urea ammonium nitrate,2011,2011,1.3475,NA,NA,NA,NA,switchgrass,static chamber,32,183,5/19/2011,11/18/2011,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,112,112,1,liquid urea ammonium nitrate,2011,2011,1.6075,NA,NA,NA,NA,switchgrass,static chamber,32,183,5/19/2011,11/18/2011,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,140,140,1,liquid urea ammonium nitrate,2011,2011,2.2075,NA,NA,NA,NA,switchgrass,static chamber,32,183,5/19/2011,11/18/2011,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,168,168,1,liquid urea ammonium nitrate,2011,2011,3.045,NA,NA,NA,NA,switchgrass,static chamber,32,183,5/19/2011,11/18/2011,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_2016,196,196,1,liquid urea ammonium nitrate,2011,2011,4.59,NA,NA,NA,NA,switchgrass,static chamber,32,183,5/19/2011,11/18/2011,linear interpolation,cumulative (annual) values in data sheet don't seem to line up with linear interps when done in R (start/end of yr issue..? )
Ruan_snow_2016,ambient-snow,85,NA,urea ammonium nitrate,2011,2011,NA,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,linear interpolation,NA
Ruan_snow_2016,ambient-snow,85,NA,urea ammonium nitrate,2012,2012,NA,7.40E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,linear interpolation,NA
Ruan_snow_2016,ambient-snow,85,NA,urea ammonium nitrate,2013,2013,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,linear interpolation,NA
Ruan_snow_2016,double-snow,85,NA,urea ammonium nitrate,2011,2011,NA,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,linear interpolation,NA
Ruan_snow_2016,double-snow,85,NA,urea ammonium nitrate,2012,2012,NA,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,linear interpolation,NA
Ruan_snow_2016,double-snow,85,NA,urea ammonium nitrate,2013,2013,NA,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,linear interpolation,NA
Ruan_snow_2016,no-snow,85,NA,urea ammonium nitrate,2011,2011,NA,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,linear interpolation,NA
Ruan_snow_2016,no-snow,85,NA,urea ammonium nitrate,2012,2012,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,linear interpolation,NA
Ruan_snow_2016,no-snow,85,NA,urea ammonium nitrate,2013,2013,NA,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,linear interpolation,NA
Gelfand_2011,M1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gelfand_2011,M2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gelfand_2011,M3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gelfand_2011,M4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oates_KBS_2015,G1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oates_KBS_2015,G2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oates_KBS_2015,G3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
