Reference,SiteID,DB_version,Contact,license,Other repository/location,PrimaryPaper,SecondaryPaper,Type,Latitude,Longitude,Start_Date,End_Date,Measurement_method,Trt_#,Treatment,Treatment_Description,avgN_applied,N type,Sampled_days,Missing_days,PercGap,Envir_factors,Notes
scheer.14,Kingsthorpe,1,clemens.scheer@kit.edu,CC-BY,http://www.n2o.net.au/knb/metacat/scheer.14.18/html,https://doi.org/10.1007/s10705-012-9547-4,NA,cropland,-27.48,151.81,11/17/2009,5/20/2010,auto chamber,3,KT_50%_irrigation,fully irrigated- crop irrigation is stimulated when fifty percent of the plants available water capacity is depleted,200,Urea,155,29,0.156756757,"rain, rain.irrigat, soilt, wfps, NH4, NO3, co2",NA
scheer.14,Kingsthorpe,1,clemens.scheer@kit.edu,CC-BY,http://www.n2o.net.au/knb/metacat/scheer.14.18/html,https://doi.org/10.1007/s10705-012-9547-4,NA,cropland,-27.48,151.81,11/17/2009,5/20/2010,auto chamber,3,KT_60%_irrigation,deficit irrigated- crop irrigation is stimulated when sixty percent of the plants available water capacity is depleted,200,Urea,156,28,0.151351351,"rain, rain.irrigat, soilt, wfps, NH4, NO3, co2",NA
scheer.14,Kingsthorpe,1,clemens.scheer@kit.edu,CC-BY,http://www.n2o.net.au/knb/metacat/scheer.14.18/html,https://doi.org/10.1007/s10705-012-9547-4,NA,cropland,-27.48,151.81,11/17/2009,5/20/2010,auto chamber,3,KT_85%_irrigation,deficit irrigated three- crop irrigation is stimulated when eighty five percent of the plants available water capacity is depleted,200,Urea,154,30,0.162162162,"rain, rain.irrigat, soilt, wfps, NH4, NO3, co2",NA
scheer.inhib,Kingsthorpe,1,clemens.scheer@kit.edu,CC-BY,NA,https://doi.org/10.1071/SR15332,NA,cropland,-27.31,151.47,11/1/2012,11/7/2013,auto chamber,5,Entec,urea + DMPP,170,urea and DMPP,341,30,0.080645161,"tmax, tmin, rain, evap, rad, soilt, soilm",NA
scheer.inhib,Kingsthorpe,1,clemens.scheer@kit.edu,CC-BY,NA,https://doi.org/10.1071/SR15332,NA,cropland,-27.31,151.47,11/1/2012,11/7/2013,auto chamber,5,eNtrench,urea + Nitrapyrin,170,urea and Nitrapyrin,341,30,0.080645161,"tmax, tmin, rain, evap, rad, soilt, soilm",NA
scheer.inhib,Kingsthorpe,1,clemens.scheer@kit.edu,CC-BY,NA,https://doi.org/10.1071/SR15332,NA,cropland,-27.31,151.47,11/1/2012,11/7/2013,auto chamber,5,Poly,PCU_polymer-coated urea,170,polymer urea,341,30,0.080645161,"tmax, tmin, rain, evap, rad, soilt, soilm",NA
scheer.inhib,Kingsthorpe,1,clemens.scheer@kit.edu,CC-BY,NA,https://doi.org/10.1071/SR15332,NA,cropland,-27.31,151.47,11/1/2012,11/7/2013,auto chamber,5,Urea,urea,170,urea,341,30,0.080645161,"tmax, tmin, rain, evap, rad, soilt, soilm",NA
scheer.inhib,Kingsthorpe,1,clemens.scheer@kit.edu,CC-BY,NA,https://doi.org/10.1071/SR15332,NA,cropland,-27.31,151.47,11/1/2012,11/7/2013,auto chamber,5,zeroN,control - 0N,170,NA,341,30,0.080645161,"tmax, tmin, rain, evap, rad, soilt, soilm",NA
Hoeglwald,Hoeglwald,1,klaus.butterbach-bahl@kit.edu,CC-BY,NA,doi.org/10.1029/1999JD900293,doi.org/10.5194/bg-9-1741-2012,forest,48.5,11.17,1/1/1999,12/31/2012,auto chamber,1,spruce,spruce forest,0,NA,4085,1028,0.201016817,"rain, tmax, tmin, tavg, soilt, wfps",NA
kelly.24.27,Terang,1,pr.grace@qut.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/kelly.24.22/html,NA,NA,grassland,-38.14,142.55,1/1/2009,12/31/2010,auto chamber,4,t3,urine @ 1000 kg N/ha applied 11 September 2009,1000,Urine applied in Sep,413,316,0.433470508,"tmin, tmax, rain, solar, Eto, soilT, soilM, NO3, NH4",NA
kelly.24.27,Terang,1,pr.grace@qut.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/kelly.24.22/html,NA,NA,grassland,-38.14,142.55,1/1/2009,12/31/2010,auto chamber,4,t4,urine @ 1000 kg N/ha applied 11 September 2009 plus DCD @ 10 kg a.i./ha applied 14 August 2009,1000,Urine in Sep plus DCD applied in Aug,413,316,0.433470508,"tmin, tmax, rain, solar, Eto, soilT, soilM, NO3, NH4",NA
kelly.24.27,Terang,1,pr.grace@qut.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/kelly.24.22/html,NA,NA,grassland,-38.14,142.55,1/1/2009,12/31/2010,auto chamber,4,t5,urine @ 1000 kg N/ha applied 14 August 2009,1000,Urine applied in Aug,413,316,0.433470508,"tmin, tmax, rain, solar, Eto, soilT, soilM, NO3, NH4",NA
kelly.24.27,Terang,1,pr.grace@qut.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/kelly.24.22/html,NA,NA,grassland,-38.14,142.55,1/1/2009,12/31/2010,auto chamber,4,t6,urine @ 1000 kg N/ha applied 14 August 2009 plus DCD @ 10 kg a.i./ha applied 14 August 2009,1000,Urine in Aug plus DCD in Aug,413,316,0.433470508,"tmin, tmax, rain, solar, Eto, soilT, soilM, NO3, NH4",NA
kelly.30.33,Terang,1,pr.grace@qut.edu.au,CC-BY,NA,NA,NA,grassland,-38.24,142.92,9/23/2010,10/12/2011,auto chamber,4,t1,nil applied,0,NA,385,0,0,"tmin, tmax, rain, solar, Eto, soilT, soilM, NO3, NH4",NA
kelly.30.33,Terang,1,pr.grace@qut.edu.au,CC-BY,NA,NA,NA,grassland,-38.24,142.92,9/23/2010,10/12/2011,auto chamber,4,t2,"urine @1000 kgN/ha applied to 25% of chamber base 23 Sept 2010, 21 Oct 2010, 10 Nov 2010 and 7 Dec 2010",1000,Urine,385,0,0,"tmin, tmax, rain, solar, Eto, soilT, soilM, NO3, NH4",NA
kelly.30.33,Terang,1,pr.grace@qut.edu.au,CC-BY,NA,NA,NA,grassland,-38.24,142.92,9/23/2010,10/12/2011,auto chamber,4,t3,"urine @ 1000 kg N/ha applied to 25% of the chamber base 23 Sept 2010, 21 Oct 2010, 10 Nov 2010 and 7 Dec 2010 with DCD @10 kg a.i./ha applied 23 Sept 2010",1000,Urine with DCD at the beginning (one time),385,0,0,"tmin, tmax, rain, solar, Eto, soilT, soilM, NO3, NH4",NA
kelly.30.33,Terang,1,pr.grace@qut.edu.au,CC-BY,NA,NA,NA,grassland,-38.24,142.92,9/23/2010,10/12/2011,auto chamber,4,t4,"urine @ 1000 kg N/ha applied to 25% of the chamber base 23 Sept 2010, 21 Oct 2010, 10 Nov 2010 and 7 Dec 2010 with DCD @ 10 kg a.i./ha applied each time",1000,Urine with DCD each time,385,0,0,"tmin, tmax, rain, solar, Eto, soilT, soilM, NO3, NH4",NA
kelly.38,Terang,1,pr.grace@qut.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/kelly.38.26/html,NA,NA,grassland,-38.24,142.92,9/7/2012,8/14/2013,auto chamber,4,t1,nil applied,0,NA,342,0,0,"tmax, tmin, solar, rain, Eto, soilT, soilM, NO3, NH4",NA
kelly.38,Terang,1,pr.grace@qut.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/kelly.38.26/html,NA,NA,grassland,-38.24,142.92,9/7/2012,8/14/2013,auto chamber,4,t2,"urine @1000 kgN/ha was original target however urine was only applied three times to 25% of chamber base at each application on 17 Sept 2012, 22 Nov 2012 and 16 May 2013",1000,Urine,342,0,0,"tmax, tmin, solar, rain, Eto, soilT, soilM, NO3, NH4",NA
kelly.38,Terang,1,pr.grace@qut.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/kelly.38.26/html,NA,NA,grassland,-38.24,142.92,9/7/2012,8/14/2013,auto chamber,4,t3,"urine @ 1000 kg N/ha applied to 25% of the chamber base 17 Sept 2012, 22 Nov 2012 and 16 May 2013 and with DCD @10 kg a.i./ha applied as surface spray on 17 Sept 2012 and again 16 May 2013",1000,Urine plus DCD 10kg a.i./ha,342,0,0,"tmax, tmin, solar, rain, Eto, soilT, soilM, NO3, NH4",NA
kelly.38,Terang,1,pr.grace@qut.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/kelly.38.26/html,NA,NA,grassland,-38.24,142.92,9/7/2012,8/14/2013,auto chamber,4,t4,"urine @ 1000 kg N/ha applied to 25% of the chamber base 17 Sept 2012, 22 Nov 2012, and 16 May 2013 with DCD is mixed in with urine at each application at a rate equivalent to 20 kg a.i./ha",1000,Urine plus DCD 20 kg a.i./ha,342,0,0,"tmax, tmin, solar, rain, Eto, soilT, soilM, NO3, NH4",NA
kelly.52,Terang,1,pr.grace@qut.edu.au,CC-BY,NA,NA,NA,grassland,-38.24,142.92,8/16/2013,5/21/2014,auto chamber,4,t2,urine @1000 kgN/ha applied 19 September 2013,1000,Urine,279,0,0,"tmin, tmax, solar, rain, Eto, soilt, soilm",NA
kelly.52,Terang,1,pr.grace@qut.edu.au,CC-BY,NA,NA,NA,grassland,-38.24,142.92,8/16/2013,5/21/2014,auto chamber,4,t3,urine @ 1000 kg N/ha applied 19 September 2013 with nitrapyrin sprayed on after application of urine at 1 kg a.i./ha,1000,Urine plus nitrapryin surface applied,279,0,0,"tmin, tmax, solar, rain, Eto, soilt, soilm",NA
kelly.52,Terang,1,pr.grace@qut.edu.au,CC-BY,NA,NA,NA,grassland,-38.24,142.92,8/16/2013,5/21/2014,auto chamber,4,t4,fresh dairy cow dung aiming to apply equivalent to 400 kg N/ha applied as three dung pads as circles each of 0.25 m diameter on 19 September 2013,400,dung,279,0,0,"tmin, tmax, solar, rain, Eto, soilt, soilm",NA
kelly.52,Terang,1,pr.grace@qut.edu.au,CC-BY,NA,NA,NA,grassland,-38.24,142.92,8/16/2013,5/21/2014,auto chamber,4,t1,nil applied,0,NA,279,0,0,"tmin, tmax, solar, rain, Eto, soilt, soilm",NA
barton.79,Buntine,1,louise.barton@uwa.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/barton.79.104/html,doi.org/10.1016/j.agee.2016.07.004,NA,cropland,-29.987,116.5687,6/7/2012,12/5/2014,auto chamber,4,om.plus.urea,Orgain matter and Urea added,100,urea,847,64,0.07025247,"tmax, tmin, solar, rain, humimax, humimin, wind, soilT5, soilT10, soilT20, NO3, NH4, soilM, DOC, season",NA
barton.79,Buntine,1,louise.barton@uwa.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/barton.79.104/html,doi.org/10.1016/j.agee.2016.07.004,NA,cropland,-29.987,116.5687,6/7/2012,12/5/2014,auto chamber,4,om.no.urea,"Orgain matter added, no Urea",0,na,845,66,0.072447859,"tmax, tmin, solar, rain, humimax, humimin, wind, soilT5, soilT10, soilT20, NO3, NH4, soilM, DOC, season",NA
barton.79,Buntine,1,louise.barton@uwa.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/barton.79.104/html,doi.org/10.1016/j.agee.2016.07.004,NA,cropland,-29.987,116.5687,6/7/2012,12/5/2014,auto chamber,4,no.om.no.urea,No organic matter and Urea added,0,na,847,64,0.07025247,"tmax, tmin, solar, rain, humimax, humimin, wind, soilT5, soilT10, soilT20, NO3, NH4, soilM, DOC, season",NA
barton.79,Buntine,1,louise.barton@uwa.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/barton.79.104/html,doi.org/10.1016/j.agee.2016.07.004,NA,cropland,-29.987,116.5687,6/7/2012,12/5/2014,auto chamber,4,no.om.plus.urea,"Urea added, no organic matter",100,urea,847,64,0.07025247,"tmax, tmin, solar, rain, humimax, humimin, wind, soilT5, soilT10, soilT20, NO3, NH4, soilM, DOC, season",NA
barton.52,Wongan Hills,1,louise.barton@uwa.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/barton.52.55/html,doi.org/10.1016/j.agee.2013.01.003,NA,cropland,-30.8374,116.7193,6/2/2009,6/8/2011,auto chamber,4,Lime.lw,fertilized lupin-wheat rotation with lime,87,urea,720,16,0.02173913,"tmax, tmin, solar, rain, humimax, humimin, soilT5, soilT10, soilT20, NO3, NH4, WFPS, DOC, pH","two years data, but we could pick up either"
barton.52,Wongan Hills,1,louise.barton@uwa.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/barton.52.55/html,doi.org/10.1016/j.agee.2013.01.003,NA,cropland,-30.8374,116.7193,6/2/2009,6/8/2011,auto chamber,4,No-Lime.lw,fertilized lupin-wheat rotation no lime,87,urea,721,15,0.020380435,"tmax, tmin, solar, rain, humimax, humimin, soilT5, soilT10, soilT20, NO3, NH4, WFPS, DOC, pH","two years data, but we could pick up either"
barton.52,Wongan Hills,1,louise.barton@uwa.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/barton.52.55/html,doi.org/10.1016/j.agee.2013.01.003,NA,cropland,-30.8374,116.7193,6/2/2009,6/8/2011,auto chamber,4,Lime.ww,fertilized wheat-wheat rotation with lime,117,urea,722,14,0.019021739,"tmax, tmin, solar, rain, humimax, humimin, soilT5, soilT10, soilT20, NO3, NH4, WFPS, DOC, pH","two years data, but we could pick up either"
barton.52,Wongan Hills,1,louise.barton@uwa.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/barton.52.55/html,doi.org/10.1016/j.agee.2013.01.003,NA,cropland,-30.8374,116.7193,6/2/2009,6/8/2011,auto chamber,4,No-Lime.ww,fertilized wheat-wheat rotation no lime,117,urea,723,13,0.017663043,"tmax, tmin, solar, rain, humimax, humimin, soilT5, soilT10, soilT20, NO3, NH4, WFPS, DOC, pH","two years data, but we could pick up either"
WagnerRiddle,Elora Research Station,1,cwagnerr@uoguelph.ca,CC-BY,https://dataverse.scholarsportal.info/dataset.xhtml?persistentId=hdl:10864/10130,https://doi.org/10.1111/j.1365-2486.2007.01388.x,https://doi.org/10.1016/j.agrformet.2008.03.006,cropland,43.38,-80.24,1/1/2000,12/31/2005,flux gradient,2,ct,"Conventional practices, CT and fert in corn-soy-wheat",80,urea,2191,0,0,"Wind, rain, RH, solar, AirT, soilt, nh4, no3, soilt, soilm","all measurements are real, or were some the interpolated values?"
WagnerRiddle,Elora Research Station,1,cwagnerr@uoguelph.ca,CC-BY,https://dataverse.scholarsportal.info/dataset.xhtml?persistentId=hdl:10864/10130,https://doi.org/10.1111/j.1365-2486.2007.01388.x,https://doi.org/10.1016/j.agrformet.2008.03.006,cropland,43.38,-80.24,1/1/2000,12/31/2005,flux gradient,2,nt,"Best management practices, No tillage with cover crop in corn-soy-wheat",60,urea and urea-ammonium nitrate,2191,0,0,"Wind, rain, RH, solar, AirT, soilt, nh4, no3, soilt, soilm","all measurements are real, or were some the interpolated values?"
dougherty.6,Nearby Sydney,1,pr.grace@qut.edu.au,CC-BY,NA,https://www.publish.csiro.au/sr/sr15330,NA,grassland,-34.1,150.7,10/30/2012,2/3/2014,auto chamber,3,urea,CONTROL standard urea,260,urea,428,33,0.071583514,"tmax, tmin, humi.min, humi.max, wind, rain, irrigarion, GSR.avg, soilM, WFPS, soilT, NH4,NO3",NA
dougherty.6,Nearby Sydney,1,pr.grace@qut.edu.au,CC-BY,NA,https://www.publish.csiro.au/sr/sr15330,NA,grassland,-34.1,150.7,10/30/2012,2/3/2014,auto chamber,3,urea+DMPP,urea + nitrification inhibitor,260,urea and nitrification inhibitor,428,33,0.071583514,"tmax, tmin, humi.min, humi.max, wind, rain, irrigarion, GSR.avg, soilM, WFPS, soilT, NH4,NO3",NA
dougherty.6,Nearby Sydney,1,pr.grace@qut.edu.au,CC-BY,NA,https://www.publish.csiro.au/sr/sr15330,NA,grassland,-34.1,150.7,10/30/2012,2/3/2014,auto chamber,3,urea+NBPT,urea + urease inhibitor,260,urea and urease inhibitor,428,33,0.071583514,"tmax, tmin, humi.min, humi.max, wind, rain, irrigarion, GSR.avg, soilM, WFPS, soilT, NH4,NO3",NA
quayle.39,"Griffith, New South Wales",1,w.quayle@deakin.edu.au,CC-BY,NA,doi.org/10.1071/SR15315,NA,cropland,-34.324,146.068,6/9/2014,11/19/2014,auto chamber,4,CONV_Irri,conventional irrigation,172.5,DAP & urea,163,0,0,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC",15N and leaching
quayle.39,"Griffith, New South Wales",1,w.quayle@deakin.edu.au,CC-BY,NA,doi.org/10.1071/SR15315,NA,cropland,-34.324,146.068,6/9/2014,11/19/2014,auto chamber,4,CONV_DMPP,conventional irrigation with DMPP inhibitor,172.5,DAP & urea,163,0,0,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC",15N and leaching
quayle.39,"Griffith, New South Wales",1,w.quayle@deakin.edu.au,CC-BY,NA,doi.org/10.1071/SR15315,NA,cropland,-34.324,146.068,6/9/2014,11/19/2014,auto chamber,4,RED_Irri,reduced deficit irrigation,172.5,DAP & urea,163,0,0,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC",15N and leaching
quayle.39,"Griffith, New South Wales",1,w.quayle@deakin.edu.au,CC-BY,NA,doi.org/10.1071/SR15315,NA,cropland,-34.324,146.068,6/9/2014,11/19/2014,auto chamber,4,RED_DMPP,reduced deficit irrigation with DMPP inhibitor,172.5,DAP & urea,163,0,0,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC",15N and leaching
quayle.33,Willbriggie,1,w.quayle@deakin.edu.au,CC-BY,NA,doi.org/10.1016/j.agrformet.2015.04.010,NA,cropland,-34.48,145.95,1/14/2014,5/16/2014,auto chamber,4,30mm_Irri,urea with 12 irrigation events of 30mm,300,urea,123,0,0,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC, soilT",15N and leaching
quayle.33,Willbriggie,1,w.quayle@deakin.edu.au,CC-BY,NA,doi.org/10.1016/j.agrformet.2015.04.010,NA,cropland,-34.48,145.95,1/14/2014,5/16/2014,auto chamber,4,60mm_Irri,urea with 6 irrigation events of 60 mm,300,urea,123,0,0,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC, soilT",15N and leaching
quayle.33,Willbriggie,1,w.quayle@deakin.edu.au,CC-BY,NA,doi.org/10.1016/j.agrformet.2015.04.010,NA,cropland,-34.48,145.95,1/14/2014,5/16/2014,auto chamber,4,90mm_Irri,urea with 4 irrigation events of 90 mm,300,urea,123,0,0,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC, soilT",15N and leaching
quayle.33,Willbriggie,1,w.quayle@deakin.edu.au,CC-BY,NA,doi.org/10.1016/j.agrformet.2015.04.010,NA,cropland,-34.48,145.95,1/14/2014,5/16/2014,auto chamber,4,120mm_Irri,urea with 3 irrigation events of 120 mm,300,urea,123,0,0,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC, soilT",15N and leaching
quayle.27,"Griffith, New South Wales",1,w.quayle@deakin.edu.au,CC-BY,NA,doi.org/10.1016/j.agrformet.2016.03.022,NA,cropland,-34.32,146.078,6/20/2013,11/18/2013,auto chamber,6,Banna_Sand_Bare_Soil,irrigated fallow,100,DAP & urea,146,5,0.033112583,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC, soilT",15N tracer and leaching - need to contact Dr. Quayle about some of this supplementary data
quayle.27,"Griffith, New South Wales",1,w.quayle@deakin.edu.au,CC-BY,NA,doi.org/10.1016/j.agrformet.2016.03.022,NA,cropland,-34.323,146.069,6/20/2013,11/18/2013,auto chamber,6,Banna_Sand_Wheat,irrigated wheat,100,DAP & urea,146,5,0.033112583,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC, soilT",15N tracer and leaching
quayle.27,"Griffith, New South Wales",1,NA,CC-BY,NA,NA,NA,cropland,-34.323,146.069,6/20/2013,11/18/2013,auto chamber,6,Hanwood_Loam_Bare_Soil,irrigated fallow,100,DAP & urea,146,5,0.033112583,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC, soilT",NA
quayle.27,"Griffith, New South Wales",1,NA,CC-BY,NA,NA,NA,cropland,-34.323,146.069,6/20/2013,11/18/2013,auto chamber,6,Hanwood_Loam_Wheat,irrigated wheat,100,DAP & urea,144,7,0.046357616,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC, soilT",NA
quayle.27,"Griffith, New South Wales",1,NA,CC-BY,NA,NA,NA,cropland,-34.323,146.069,6/20/2013,11/18/2013,auto chamber,6,Mundiwa_Clay_Loam_Bare_Soil,irrigated fallow,100,DAP & urea,145,6,0.039735099,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC, soilT",NA
quayle.27,"Griffith, New South Wales",1,w.quayle@deakin.edu.au,CC-BY,NA,doi.org/10.1016/j.agrformet.2016.03.022,NA,cropland,-34.603,146.382,6/20/2013,11/18/2013,auto chamber,6,Mundiwa_Clay_Loam_Wheat,irrigated wheat,100,DAP & urea,145,6,0.039735099,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC, soilT",15N tracer and leaching
quayle.10,Griffith,1,w.quayle@deakin.edu.au,CC-BY,http://www.N2O.net.au/knb/metacat/quayle.10.19/html,NA,NA,cropland,-34.3,146.03,12/26/2012,5/25/2013,auto chamber,4,fertilizer,bare soil + fertilizer twice - 65 kg/ha of urea,130,Urea,119,31,0.206666667,"tavg, tmin, tmax, Rhavg, Rhmin, Rhmax, windavg, windmax, solar, Dew, rain, Etref_s, Etref_t, VWC, soilT",15N tracer and leaching
