PubID,PubTitle,LeadAuthor,Citation,PubYear,Link
11,"Flux intensity and diurnal variability of soil N
                    <sub>2</sub>
                    O emissions in a highly fertilized cropping system",Francis Clar,"Francis Clar, J. T., & Anex, R. P. (2020). Flux intensity and diurnal variability of soil N <sub>2</sub> O emissions in a highly fertilized cropping system. Soil Science Society of America Journal, 84(6), 1983–1994. Portico. https://doi.org/10.1002/saj2.20132",2020,https://doi.org/10.1002/saj2.20132
12,fuchs.chamau,,,2019,https://www.research-collection.ethz.ch/handle/20.500.11850/342267
13,Carbon debt of Conservation Reserve Program (CRP) grasslands converted to bioenergy production,Gelfand,"Gelfand, I., Zenone, T., Jasrotia, P., Chen, J., Hamilton, S. K., & Robertson, G. P. (2011). Carbon debt of Conservation Reserve Program (CRP) grasslands converted to bioenergy production. Proceedings of the National Academy of Sciences, 108(33), 13864–13869. https://doi.org/10.1073/pnas.1017277108",2011,https://doi.org/10.1073/pnas.1017277108
14,Long‐term nitrous oxide fluxes in annual and perennial agricultural and unmanaged ecosystems in the upper Midwest<scp>USA</scp>,Gelfand,"Gelfand, I., Shcherbak, I., Millar, N., Kravchenko, A. N., & Robertson, G. P. (2016). Long‐term nitrous oxide fluxes in annual and perennial agricultural and unmanaged ecosystems in the upper Midwest<scp>USA</scp>. Global Change Biology, 22(11), 3594–3607. Portico. https://doi.org/10.1111/gcb.13426",2016,https://doi.org/10.1111/gcb.13426
15,"Effect of nitrogen source and tillage on N2O Emissions. Wagga Wagga, New South Wales, 2012-2013 [Theme 1: Inhibitors for reducing emissions]",Li,"Li, Guangdi. Effect of nitrogen source and tillage on N2O Emissions. Wagga Wagga, New South Wales, 2012-2013 [Theme 1: Inhibitors for reducing emissions]. N2O Network data repository (n2o.net.au). http://www.n2o.net.au/knb/metacat/guangdi.76/html",,http://www.n2o.net.au/knb/metacat/guangdi.76/html
16,A 3‐year continuous record of nitrogen trace gas fluxes from untreated and limed soil of a N‐saturated spruce and beech forest ecosystem in Germany: 1. N<sub>2</sub>O emissions,Papen,"Papen, H., & Butterbach‐Bahl, K. (1999). A 3‐year continuous record of nitrogen trace gas fluxes from untreated and limed soil of a N‐saturated spruce and beech forest ecosystem in Germany: 1. N<sub>2</sub>O emissions. Journal of Geophysical Research: Atmospheres, 104(D15), 18487–18503. Portico. https://doi.org/10.1029/1999jd900293",1999,https://doi.org/10.1029/1999JD900293
17,"Nitrous oxide emissions from urine patches - experiment 1 part 1. Terang, Victoria 2009-2010 [Theme 1: Inhibitors for reducing emissions]",Kelly,"Kelly, Kevin. Nitrous oxide emissions from urine patches - experiment 1 part 1. Terang, Victoria 2009-2010 [Theme 1: Inhibitors for reducing emissions]. N2O Network data repository (n2o.net.au). http://www.n2o.net.au/knb/metacat/kelly.24.22/html",,http://www.n2o.net.au/knb/metacat/kelly.24.22/html
18,kelly.30.33,,,,http://www.n2o.net.au/knb/metacat/kelly.30/html
19,"Nitrous oxide emissions from urine patches - experiment 3. Terang, Victoria, 2012-2013 [Theme 1: Inhibitors for reducing emissions]",Kelly,"Kelly, Kevin. Nitrous oxide emissions from urine patches - experiment 3. Terang, Victoria, 2012-2013 [Theme 1: Inhibitors for reducing emissions]. N2O Network data repository (n2o.net.au). http://www.n2o.net.au/knb/metacat/kelly.38.26/html",,http://www.n2o.net.au/knb/metacat/kelly.38.26/html
20,"Nitrous oxide emissions from urine and dung. Terang, Victoria, 2013-2014 [Theme 1: Inhibitors for reducing emissions]",Kelly,"Kelly, Kevin. Nitrous oxide emissions from urine and dung. Terang, Victoria, 2013-2014 [Theme 1: Inhibitors for reducing emissions]. N2O Network data repository (n2o.net.au). http://www.n2o.net.au/knb/metacat/kelly.52/html",,http://www.n2o.net.au/knb/metacat/kelly.52/html
21,Effect of irrigation scheduling on nitrous oxide emissions in intensively managed pastures,Mumford,"Mumford, M. T., Rowlings, D. W., Scheer, C., De Rosa, D., & Grace, P. R. (2019). Effect of irrigation scheduling on nitrous oxide emissions in intensively managed pastures. Agriculture, Ecosystems & Environment, 272, 126–134. https://doi.org/10.1016/j.agee.2018.11.011",2019,https://doi.org/10.1016/j.agee.2018.11.011
22,Nitrous oxide emissions during establishment of eight alternative cellulosic bioenergy cropping systems in the North Central United States,Oates,"Oates, L. G., Duncan, D. S., Gelfand, I., Millar, N., Robertson, G. P., & Jackson, R. D. (2015). Nitrous oxide emissions during establishment of eight alternative cellulosic bioenergy cropping systems in the North Central United States. GCB Bioenergy, 8(3), 539–549. Portico. https://doi.org/10.1111/gcbb.12268",2015,https://doi.org/10.1111/gcbb.12268
23,"Comparison of N2O emissions from bare soil-fertilizer-wheat stubble-soybean treatments in a large weighing lysimeter facility. Griffith, New South Wales, 2012-2013 [Theme 5: Reducing emissions through improved NUE]",Quayle,"Quayle, Wendy; Jamali, Hizbullah. Comparison of N2O emissions from bare soil-fertilizer-wheat stubble-soybean treatments in a large weighing lysimeter facility. Griffith, New South Wales, 2012-2013 [Theme 5: Reducing emissions through improved NUE]. N2O Network data repository (n2o.net.au). http://www.n2o.net.au/knb/metacat/quayle.10.19/html",,http://www.n2o.net.au/knb/metacat/quayle.10.19/html
24,Effect of soil texture and wheat plants on N2O fluxes: A lysimeter study,Jamali,"Jamali, H., Quayle, W., Scheer, C., Rowlings, D., & Baldock, J. (2016). Effect of soil texture and wheat plants on N2O fluxes: A lysimeter study. Agricultural and Forest Meteorology, 223, 17–29. https://doi.org/10.1016/j.agrformet.2016.03.022",2016,https://doi.org/10.1016/j.agrformet.2016.03.022
25,Reducing nitrous oxide emissions and nitrogen leaching losses from irrigated arable cropping in Australia through optimized irrigation scheduling,Jamali,"Jamali, H., Quayle, W. C., & Baldock, J. (2015). Reducing nitrous oxide emissions and nitrogen leaching losses from irrigated arable cropping in Australia through optimized irrigation scheduling. Agricultural and Forest Meteorology, 208, 32–39. https://doi.org/10.1016/j.agrformet.2015.04.010",2015,https://doi.org/10.1016/j.agrformet.2015.04.010
26,Mitigation of N2O emissions from surface-irrigated cropping systems using water management and the nitrification inhibitor DMPP,Jamali,"Jamali, H., Quayle, W., Scheer, C., & Baldock, J. (2016). Mitigation of N2O emissions from surface-irrigated cropping systems using water management and the nitrification inhibitor DMPP. Soil Research, 54(5), 481–493. https://doi.org/10.1071/sr15315",2016,https://doi.org/10.1071/SR15315
27,Annual nitrogen dynamics and urea fertilizer recoveries from a dairy pasture using 15N; effect of nitrification inhibitor DMPP and reduced application rates,Rowlings,"Rowlings, D. W., Scheer, C., Liu, S., & Grace, P. R. (2016). Annual nitrogen dynamics and urea fertilizer recoveries from a dairy pasture using 15N; effect of nitrification inhibitor DMPP and reduced application rates. Agriculture, Ecosystems & Environment, 216, 216–225. https://doi.org/10.1016/j.agee.2015.09.025",2016,https://doi.org/10.1016/j.agee.2015.09.025
28,"Initial nitrous oxide, carbon dioxide, and methane costs of converting conservation reserve program grassland to row crops under no‐till vs. conventional tillage",Ruan,"Ruan, L., & Philip Robertson, G. (2013). Initial nitrous oxide, carbon dioxide, and methane costs of converting conservation reserve program grassland to row crops under no‐till vs. conventional tillage. Global Change Biology, 19(8), 2478–2489. Portico. https://doi.org/10.1111/gcb.12216",2013,https://doi.org/10.1111/gcb.12216
29,Nitrogen fertilization challenges the climate benefit of cellulosic biofuels,Ruan,"Ruan, L., Bhardwaj, A. K., Hamilton, S. K., & Robertson, G. P. (2016). Nitrogen fertilization challenges the climate benefit of cellulosic biofuels. Environmental Research Letters, 11(6), 64007. https://doi.org/10.1088/1748-9326/11/6/064007",2016,https://doi.org/10.1088/1748-9326/11/6/064007
30,Reduced Snow Cover Increases Wintertime Nitrous Oxide (N2O) Emissions from an Agricultural Soil in the Upper U.S. Midwest,Ruan,"Ruan, L., & Robertson, G. P. (2016). Reduced Snow Cover Increases Wintertime Nitrous Oxide (N2O) Emissions from an Agricultural Soil in the Upper U.S. Midwest. Ecosystems, 20(5), 917–927. https://doi.org/10.1007/s10021-016-0077-9",2016,https://doi.org/10.1007/s10021-016-0077-9
31,Nitrous oxide emissions from irrigated wheat in Australia: impact of irrigation management,Scheer,"Scheer, C., Grace, P. R., Rowlings, D. W., & Payero, J. (2012). Nitrous oxide emissions from irrigated wheat in Australia: impact of irrigation management. Plant and Soil, 359(1-2), 351–362. https://doi.org/10.1007/s11104-012-1197-4",2012,https://doi.org/10.1007/s11104-012-1197-4
32,Soil N2O and CO2 emissions from cotton in Australia under varying irrigation management,Scheer,"Scheer, C., Grace, P. R., Rowlings, D. W., & Payero, J. (2012). Soil N2O and CO2 emissions from cotton in Australia under varying irrigation management. Nutrient Cycling in Agroecosystems, 95(1), 43–56. https://doi.org/10.1007/s10705-012-9547-4",2012,https://doi.org/10.1007/s10705-012-9547-4
33,Nitrous oxide emissions from an annual crop rotation on poorly drained soil on the Canadian Prairies,Glenn,"Glenn, A. J., Tenuta, M., Amiro, B. D., Maas, S. E., & Wagner-Riddle, C. (2012). Nitrous oxide emissions from an annual crop rotation on poorly drained soil on the Canadian Prairies. Agricultural and Forest Meteorology, 166-167, 41–49. https://doi.org/10.1016/j.agrformet.2012.06.015",2012,https://doi.org/10.1016/j.agrformet.2012.06.015
34,Effect of urbanization on soil methane and nitrous oxide fluxes in subtropical Australia,van Delden,"van Delden, L., Rowlings, D. W., Scheer, C., De Rosa, D., & Grace, P. R. (2018). Effect of urbanization on soil methane and nitrous oxide fluxes in subtropical Australia. Global Change Biology, 24(12), 5695–5707. Portico. https://doi.org/10.1111/gcb.14444",2018,https://doi.org/10.1111/gcb.14444
35,Intensive measurement of nitrous oxide emissions from a corn–soybean–wheat rotation under two contrasting management systems over 5 years,Wagner‐Riddle,"Wagner‐Riddle, C., Furon, A., Mclaughlin, N. L., Lee, I., Barbeau, J., Jayasundara, S., Parkin, G., Von Bertoldi, P., & Warland, J. (2007). Intensive measurement of nitrous oxide emissions from a corn–soybean–wheat rotation under two contrasting management systems over 5 years. Global Change Biology, 13(8), 1722–1736. Portico. https://doi.org/10.1111/j.1365-2486.2007.01388.x",2007,https://doi.org/10.1111/j.1365-2486.2007.01388.x
36,Effect of enhanced efficiency fertilisers on nitrous oxide emissions in a sub-tropical cereal cropping system,Scheer,"Scheer, C., Rowlings, D. W., De Antoni Migliorati, M., Lester, D. W., Bell, M. J., & Grace, P. R. (2016). Effect of enhanced efficiency fertilisers on nitrous oxide emissions in a sub-tropical cereal cropping system. Soil Research, 54(5), 544–551. https://doi.org/10.1071/sr15332",2016,https://doi.org/10.1071/SR15332
